id,ITEM NAME,ds,y
97,Blanket With toy (Pink),2018-11-01 00:00:00,1.0
98,Blanket in a Box(cream),2019-05-01 00:00:00,1.0
99,Blanket with a toy,2019-04-01 00:00:00,1.0
100,Blanket with a toy,2019-07-01 00:00:00,1.0
101,Blanket with a toy(Blue),2019-06-01 00:00:00,1.0
102,Blanket with a toy(Pink),2019-06-01 00:00:00,1.0
103,Blanket with comfort toy(pink),2019-01-01 00:00:00,1.0
104,Blue Rubbers(26),2019-07-01 00:00:00,1.0
105,Blue Stocking with pearl and lace bottom,2018-11-01 00:00:00,2.0
106,Boys Pajama(Green and blue),2019-02-01 00:00:00,1.0
107,Breast Milk Sorage Bags,2019-03-01 00:00:00,1.0
108,Breast Milk Storage bag,2018-12-01 00:00:00,1.0
109,Breast milk storage bags,2019-04-01 00:00:00,1.0
110,Breast pads,2019-04-01 00:00:00,1.0
111,Breast pads(36pack),2018-12-01 00:00:00,3.0
112,Breastmilk storage Bags,2019-01-01 00:00:00,1.0
113,Breastmilk storsge bags,2019-02-01 00:00:00,1.0
114,Breastpads,2018-12-01 00:00:00,2.0
115,Brown Loafers with fur,2019-07-01 00:00:00,1.0
116,Brown Open Shoes with Frills(22),2019-07-01 00:00:00,1.0
117,Brown with Shoelace(22),2019-07-01 00:00:00,1.0
118,"Burp clothes(Blue,pink,Caramel)",2019-01-01 00:00:00,3.0
119,Changing Clutch,2019-05-01 00:00:00,2.0
120,Changing Clutch,2019-07-01 00:00:00,2.0
121,Changing Station,2017-10-01 00:00:00,1.0
122,Changing Station,2017-11-01 00:00:00,1.0
123,Child toy,2018-07-01 00:00:00,1.0
124,Cot Bed Insect Net,2019-02-01 00:00:00,1.0
125,Cot Bed Insect Net,2019-03-01 00:00:00,4.0
126,Cot Bed Insect Net,2019-04-01 00:00:00,2.0
127,Cot bed Insect Net,2019-05-01 00:00:00,3.0
128,Cream with shoelace(29),2019-07-01 00:00:00,1.0
129,Cushie Travellers Portable Potty seat,2018-12-01 00:00:00,2.0
130,Cushie Travellers Portable toilet seat,2019-04-01 00:00:00,1.0
131,Dino-mite pajamas,2019-02-01 00:00:00,1.0
132,Elevate adjustable Nursing Pillow,2019-02-01 00:00:00,1.0
133,Feeding Pacifier,2019-04-01 00:00:00,2.0
134,Feeding Pacifier,2019-05-01 00:00:00,2.0
135,Feeding pacifier,2018-12-01 00:00:00,9.0
136,Fisher Price Infant to toddler Rocker,2019-02-01 00:00:00,1.0
137,Fisher price infant to toddler rocker,2018-12-01 00:00:00,1.0
138,Fisher price infant to toddler rocker,2019-01-01 00:00:00,1.0
139,Foldable Bathtub,2019-03-01 00:00:00,1.0
140,Fruit Pacifier,2018-12-01 00:00:00,4.0
141,Fruit Pacifier,2019-04-01 00:00:00,1.0
142,Fruit Pacifier(Blue),2019-01-01 00:00:00,1.0
143,Fruit Pacifier(orange),2019-01-01 00:00:00,1.0
144,Fruit Pacifiers(2 Blue and 1 Orange),2019-01-01 00:00:00,3.0
145,Fruit Pacifiers(Blue and Orange),2019-01-01 00:00:00,2.0
146,Fruit pacifiers,2019-07-01 00:00:00,2.0
147,Gerber 8 pack socks,2018-09-01 00:00:00,1.0
148,Green Shoes With FurStrap,2019-05-01 00:00:00,1.0
149,Grey Rubbers(26),2019-07-01 00:00:00,1.0
150,Grey Stocking With Colored Bow,2018-11-01 00:00:00,2.0
151,Hand and Foot Finder Set,2019-05-01 00:00:00,6.0
152,Hannan baby wipes,2018-08-01 00:00:00,1.0
153,Hannan baby wipes,2018-09-01 00:00:00,2.0
154,Heavy pajamas,2018-12-01 00:00:00,1.0
155,Heavy& cosy Baby Blanket,2018-12-01 00:00:00,1.0
156,Hooded Baby towel,2018-12-01 00:00:00,1.0
157,Hooded Bunting,2019-01-01 00:00:00,1.0
158,Hooded Cotton Towel,2019-07-01 00:00:00,1.0
159,Hooded Towel With Washcloth(pink),2018-11-01 00:00:00,1.0
160,Hooded Towel with Washcloth(blue),2018-11-01 00:00:00,1.0
161,Hooded cotton towel(pink),2018-12-01 00:00:00,1.0
162,Hooded towel With Faceclothes(grey),2018-12-01 00:00:00,1.0
163,Hooed towel with washclothes (GREEN),2018-12-01 00:00:00,1.0
164,Huggie Newborn size 2,2019-02-01 00:00:00,2.0
165,Huggies Dry Comfort Size 2,2018-10-01 00:00:00,2.0
166,Huggies Dry Comfort Size 5,2018-09-01 00:00:00,2.0
167,Huggies Gold Diapers,2018-09-01 00:00:00,2.0
168,Huggies Gold Diapers size 4,2018-09-01 00:00:00,2.0
169,Huggies Gold Diapers size 4,2018-10-01 00:00:00,2.0
170,Huggies Gold Size 4,2018-11-01 00:00:00,2.0
171,Huggies Gold Size 4,2019-02-01 00:00:00,1.0
172,Huggies Gold Size 4,2019-03-01 00:00:00,1.0
173,Huggies Gold Size 4,2019-04-01 00:00:00,1.0
174,Huggies Gold Size 4,2019-05-01 00:00:00,1.0
175,Huggies Gold Size 4,2019-06-01 00:00:00,2.0
176,Huggies Gold newborn size 1,2018-12-01 00:00:00,2.0
177,Huggies Gold size 2,2019-03-01 00:00:00,3.0
178,Huggies Gold size 3,2019-03-01 00:00:00,1.0
179,Huggies Gold size 4,2019-03-01 00:00:00,1.0
180,Huggies Gold size 4,2019-04-01 00:00:00,1.0
181,Huggies Gold size 4,2019-07-01 00:00:00,2.0
182,Huggies Natural Wipes,2018-08-01 00:00:00,1.0
183,Huggies Natural Wipes,2019-05-01 00:00:00,3.0
184,Huggies Natural wipes,2019-07-01 00:00:00,3.0
185,Huggies Newborn,2018-10-01 00:00:00,1.0
186,Huggies Newborn,2018-12-01 00:00:00,2.0
187,Huggies Newborn Diapers,2018-11-01 00:00:00,2.0
188,Huggies Newborn Pure wipes,2018-11-01 00:00:00,1.0
189,Huggies Newborn Wipes,2019-03-01 00:00:00,2.0
190,Huggies Newborn Wipes,2019-06-01 00:00:00,1.0
191,Huggies Newborn size 2,2019-03-01 00:00:00,1.0
192,Huggies Newborn wipes,2018-10-01 00:00:00,2.0
193,Huggies Newborn wipes,2019-03-01 00:00:00,2.0
194,Huggies Newborn wipes,2019-04-01 00:00:00,3.0
195,Huggies dry Comfort size 5,2018-10-01 00:00:00,2.0
196,Huggies gold diapers size3,2018-10-01 00:00:00,1.0
197,Huggies gold newborn,2019-02-01 00:00:00,2.0
198,Huggies gold newborn size2,2019-02-01 00:00:00,2.0
199,Huggies gold newborn wipes,2019-03-01 00:00:00,1.0
200,Huggies gold size 3,2018-11-01 00:00:00,1.0
201,Huggies gold size 3,2019-03-01 00:00:00,1.0
202,Huggies gold size 4,2018-10-01 00:00:00,2.0
203,Huggies gold size 4,2018-12-01 00:00:00,2.0
204,Huggies gold size 4,2019-03-01 00:00:00,1.0
205,Huggies gold size 4,2019-07-01 00:00:00,1.0
206,Huggies jumbo pack size 5,2018-08-01 00:00:00,2.0
207,Knee pad,2019-05-01 00:00:00,1.0
208,Lamaze caterpillar,2019-05-01 00:00:00,3.0
209,Light and cosy baby blankets,2018-12-01 00:00:00,1.0
210,Light pajamas,2018-12-01 00:00:00,1.0
211,Lion activity play gym and mat,2018-12-01 00:00:00,1.0
212,Medley Baby carrier,2019-03-01 00:00:00,1.0
213,Microfleece Sleeping Bag,2019-05-01 00:00:00,1.0
214,Microfleece sleeping Bag,2019-07-01 00:00:00,1.0
215,Milk Storage Bags,2019-04-01 00:00:00,2.0
216,Musical walker,2019-06-01 00:00:00,1.0
217,Mustard Rubbers(30),2019-07-01 00:00:00,1.0
218,Nasal Aspirator,2018-11-01 00:00:00,2.0
219,Nasal Aspirator,2018-12-01 00:00:00,3.0
220,Nasal Aspirator,2019-03-01 00:00:00,1.0
221,Nasal Aspirator,2019-06-01 00:00:00,2.0
222,Neon swaddle blankets,2018-02-01 00:00:00,1.0
223,No shoe lace sneekers(grey),2018-12-01 00:00:00,1.0
224,Nursing Cover,2017-09-01 00:00:00,1.0
225,Nursing Cover,2018-09-01 00:00:00,1.0
226,Nursing Cover,2018-10-01 00:00:00,1.0
227,Nursing Cover,2019-03-01 00:00:00,1.0
228,Nursing Pillow,2018-11-01 00:00:00,1.0
229,Nursing Pillow,2018-12-01 00:00:00,3.0
230,Nursing Pillow,2019-04-01 00:00:00,1.0
231,Pajama(S) Carpe Diem Lining,2019-04-01 00:00:00,1.0
232,Pampers Senitive wipes,2018-09-01 00:00:00,3.0
233,Pampers Sensitive Wipes,2019-04-01 00:00:00,3.0
234,Pampers Sensitive Wipes,2019-06-01 00:00:00,4.0
235,Pampers Sensitive baby wipes,2018-09-01 00:00:00,3.0
236,Pampers Sensitive baby wipes,2018-10-01 00:00:00,10.0
237,Pampers Sentive Wipes,2018-11-01 00:00:00,5.0
238,Pampers baby dry size 3 36's,2019-01-01 00:00:00,1.0
239,Pampers baby dry size 3 36's,2019-02-01 00:00:00,1.0
240,Pampers senitive wipes,2019-01-01 00:00:00,2.0
241,Pampers sensitive Wipes,2019-03-01 00:00:00,8.0
242,Pampers sensitive Wipes,2019-04-01 00:00:00,3.0
243,Pampers sensitive wipes,2018-12-01 00:00:00,3.0
244,Pampers sensitive wipes,2019-02-01 00:00:00,3.0
245,Pampers sensitive wipes,2019-05-01 00:00:00,4.0
246,Pampers sensitive wipes,2019-07-01 00:00:00,5.0
247,"Pink Closed shoes with Flower at the front(19,20)",2019-07-01 00:00:00,2.0
248,Pink Dress with sheer-ICATO,2018-11-01 00:00:00,2.0
249,Pink Dress-XIAODIEWA,2018-11-01 00:00:00,1.0
250,Pink open shoes with Gold stud detail(24),2019-07-01 00:00:00,1.0
251,Pink sport shoes,2018-12-01 00:00:00,1.0
252,Portable potty seat,2019-07-01 00:00:00,1.0
253,Pottable Potty Seat(Cushie),2018-11-01 00:00:00,1.0
254,Pregnacy Belt,2019-04-01 00:00:00,1.0
255,Pregnancy Belt,2019-06-01 00:00:00,2.0
256,Receiving blanket,2018-11-01 00:00:00,2.0
257,Red Dress-ICATO,2018-11-01 00:00:00,2.0
258,Remote Control Rocking Chair,2018-12-01 00:00:00,3.0
259,SKK Roll Up Bibs,2019-06-01 00:00:00,1.0
260,Silver dress,2019-04-01 00:00:00,1.0
261,Sling Carrier,2018-11-01 00:00:00,1.0
262,Stroller Net,2019-04-01 00:00:00,3.0
263,Stroller Net,2019-05-01 00:00:00,1.0
264,Stroller net,2019-03-01 00:00:00,1.0
265,Teddy and soft blanket,2019-07-01 00:00:00,1.0
266,Teething Mitten (Blue),2019-02-01 00:00:00,1.0
267,Teething Mittens,2019-04-01 00:00:00,3.0
268,Teething Mittens,2019-05-01 00:00:00,3.0
269,"Teething Mittens(Blue,Green,Mittens)",2019-01-01 00:00:00,3.0
270,Teething Toothbrush,2019-07-01 00:00:00,1.0
271,Teething mittens,2018-12-01 00:00:00,3.0
272,Teething mittens(Green),2019-01-01 00:00:00,1.0
273,Thick Blanket,2019-05-01 00:00:00,2.0
